src_port,dst_port,protocol,length,inter_arrival_time,anomaly
1720864267.913179,192.168.0.104,52.112.54.98,64574,443,TCP,112,0,1
1720864267.93962,52.112.54.98,192.168.0.104,443,64574,TCP,101,0,1
1720864267.992742,192.168.0.104,52.112.54.98,64574,443,TCP,54,0,1
1720864272.581795,192.168.0.107,224.0.0.251,5353,5353,UDP,103,0,1
1720864273.506959,192.168.0.107,224.0.0.251,5353,5353,UDP,103,0,1
1720864273.511545,192.168.0.107,224.0.0.251,5353,5353,UDP,103,0,1
1720864273.559113,192.168.0.107,239.255.255.250,43472,1900,UDP,167,0,1
1720864274.513962,192.168.0.107,224.0.0.251,5353,5353,UDP,103,0,1
1720864275.468765,192.168.0.107,224.0.0.251,5353,5353,UDP,103,0,1
1720864276.449836,192.168.0.107,224.0.0.251,5353,5353,UDP,103,0,1
1720864277.061767,192.168.0.107,224.0.0.251,5353,5353,UDP,103,0,1
1720864278.074551,192.168.0.107,224.0.0.251,5353,5353,UDP,103,0,1
1720864279.07884,192.168.0.107,224.0.0.251,5353,5353,UDP,103,0,1
1720864279.21537,140.82.114.25,192.168.0.104,443,59588,TCP,80,0,1
1720864279.216012,192.168.0.104,140.82.114.25,59588,443,TCP,84,0,1
1720864279.474906,140.82.114.25,192.168.0.104,443,59588,TCP,54,0,1
1720864281.266488,192.168.0.104,35.212.67.155,59368,443,TCP,55,0,1
1720864281.503234,35.212.67.155,192.168.0.104,443,59368,TCP,66,0,1
1720864281.520984,192.168.0.107,224.0.0.251,5353,5353,UDP,103,0,1
1720864281.524622,192.168.0.107,224.0.0.251,5353,5353,UDP,103,0,1
1720864282.533801,192.168.0.107,224.0.0.251,5353,5353,UDP,103,0,1
1720864283.658667,192.168.0.107,224.0.0.251,5353,5353,UDP,103,0,1
1720864288.080797,192.168.0.105,224.0.0.251,5353,5353,UDP,124,0,1
1720864289.087533,192.168.0.105,224.0.0.251,5353,5353,UDP,165,0,1
1720864289.637007,192.168.0.104,239.255.255.250,53890,1900,UDP,217,0,1
1720864290.645738,192.168.0.104,239.255.255.250,53890,1900,UDP,217,0,1
1720864291.660533,192.168.0.104,239.255.255.250,53890,1900,UDP,217,0,1
1720864292.309738,192.168.0.109,224.0.0.251,5353,5353,UDP,85,0,1
1720864292.673052,192.168.0.104,239.255.255.250,53890,1900,UDP,217,0,1
